Incorrect:

Errors:

Does not match convention:
('yotta*second*radian', 'Ysr')
('zetta*second*radian', 'Zsr')
('hecto*second*radian', 'hsr')
('centi*second*radian', 'csr')
('milli*second*radian', 'msr')
('micro*second*radian', 'musr')
('femto*second*radian', 'fsr')
('zepto*second*radian', 'zsr')
('yocto*second*radian', 'ysr')
('peta*second*radian', 'Psr')
('tera*second*radian', 'Tsr')
('giga*second*radian', 'Gsr')
('mega*second*radian', 'Msr')
('kilo*second*radian', 'ksr')
('deka*second*radian', 'dasr')
('deci*second*radian', 'dsr')
('nano*second*radian', 'nsr')
('pico*second*radian', 'psr')
('atto*second*radian', 'asr')
('exa*second*radian', 'Esr')
('yotta*metre*candela', 'Y*m*cd')
('yotta*metre*candela', 'Y m cd')
('yotta*metre*candela', 'Ymcd')
('zetta*metre*candela', 'Z*m*cd')
('zetta*metre*candela', 'Z m cd')
('zetta*metre*candela', 'Zmcd')
('hecto*metre*candela', 'h*m*cd')
('hecto*metre*candela', 'h m cd')
('hecto*metre*candela', 'hmcd')
('centi*metre*candela', 'c*m*cd')
('centi*metre*candela', 'c m cd')
('centi*metre*candela', 'cmcd')
('milli*metre*candela', 'm*m*cd')
('milli*metre*candela', 'm m cd')
('milli*metre*candela', 'mmcd')
('micro*metre*candela', 'mu*m*cd')
('micro*metre*candela', 'mu m cd')
('micro*metre*candela', 'mumcd')
('femto*metre*candela', 'f*m*cd')
('femto*metre*candela', 'f m cd')
('femto*metre*candela', 'fmcd')
('zepto*metre*candela', 'z*m*cd')
('zepto*metre*candela', 'z m cd')
('zepto*metre*candela', 'zmcd')
('yocto*metre*candela', 'y*m*cd')
('yocto*metre*candela', 'y m cd')
('yocto*metre*candela', 'ymcd')
('peta*metre*candela', 'P*m*cd')
('peta*metre*candela', 'P m cd')
('peta*metre*candela', 'Pmcd')
('tera*metre*candela', 'T*m*cd')
('tera*metre*candela', 'T m cd')
('tera*metre*candela', 'Tmcd')
('giga*metre*candela', 'G*m*cd')
('giga*metre*candela', 'G m cd')
('giga*metre*candela', 'Gmcd')
('mega*metre*candela', 'M*m*cd')
('mega*metre*candela', 'M m cd')
('mega*metre*candela', 'Mmcd')
('kilo*metre*candela', 'k*m*cd')
('kilo*metre*candela', 'k m cd')
('kilo*metre*candela', 'kmcd')
('deka*metre*candela', 'da*m*cd')
('deka*metre*candela', 'da m cd')
('deka*metre*candela', 'damcd')
('deci*metre*candela', 'd*m*cd')
('deci*metre*candela', 'd m cd')
('deci*metre*candela', 'dmcd')
('nano*metre*candela', 'n*m*cd')
('nano*metre*candela', 'n m cd')
('nano*metre*candela', 'nmcd')
('pico*metre*candela', 'p*m*cd')
('pico*metre*candela', 'p m cd')
('pico*metre*candela', 'pmcd')
('atto*metre*candela', 'a*m*cd')
('atto*metre*candela', 'a m cd')
('atto*metre*candela', 'amcd')
('exa*metre*candela', 'E*m*cd')
('exa*metre*candela', 'E m cd')
('exa*metre*candela', 'Emcd')
('yotta*metre*second', 'Y*m*s')
('yotta*metre*second', 'Y m s')
('yotta*metre*second', 'Yms')
('zetta*metre*second', 'Z*m*s')
('zetta*metre*second', 'Z m s')
('zetta*metre*second', 'Zms')
('hecto*metre*second', 'h*m*s')
('hecto*metre*second', 'h m s')
('hecto*metre*second', 'hms')
('centi*metre*second', 'c*m*s')
('centi*metre*second', 'c m s')
('centi*metre*second', 'cms')
('milli*metre*second', 'm*m*s')
('milli*metre*second', 'm m s')
('milli*metre*second', 'mms')
('micro*metre*second', 'mu*m*s')
('micro*metre*second', 'mu m s')
('micro*metre*second', 'mums')
('femto*metre*second', 'f*m*s')
('femto*metre*second', 'f m s')
('femto*metre*second', 'fms')
('zepto*metre*second', 'z*m*s')
('zepto*metre*second', 'z m s')
('zepto*metre*second', 'zms')
('yocto*metre*second', 'y*m*s')
('yocto*metre*second', 'y m s')
('yocto*metre*second', 'yms')
('peta*metre*second', 'P*m*s')
('peta*metre*second', 'P m s')
('peta*metre*second', 'Pms')
('tera*metre*second', 'T*m*s')
('tera*metre*second', 'T m s')
('tera*metre*second', 'Tms')
('giga*metre*second', 'G*m*s')
('giga*metre*second', 'G m s')
('giga*metre*second', 'Gms')
('mega*metre*second', 'M*m*s')
('mega*metre*second', 'M m s')
('mega*metre*second', 'Mms')
('kilo*metre*second', 'k*m*s')
('kilo*metre*second', 'k m s')
('kilo*metre*second', 'kms')
('deka*metre*second', 'da*m*s')
('deka*metre*second', 'da m s')
('deka*metre*second', 'dams')
('deci*metre*second', 'd*m*s')
('deci*metre*second', 'd m s')
('deci*metre*second', 'dms')
('nano*metre*second', 'n*m*s')
('nano*metre*second', 'n m s')
('nano*metre*second', 'nms')
('pico*metre*second', 'p*m*s')
('pico*metre*second', 'p m s')
('pico*metre*second', 'pms')
('atto*metre*second', 'a*m*s')
('atto*metre*second', 'a m s')
('atto*metre*second', 'ams')
('exa*metre*second', 'E*m*s')
('exa*metre*second', 'E m s')
('exa*metre*second', 'Ems')
('yotta*metre*ampere', 'Y*m*A')
('yotta*metre*ampere', 'Y m A')
('yotta*metre*ampere', 'YmA')
('zetta*metre*ampere', 'Z*m*A')
('zetta*metre*ampere', 'Z m A')
('zetta*metre*ampere', 'ZmA')
('hecto*metre*ampere', 'h*m*A')
('hecto*metre*ampere', 'h m A')
('hecto*metre*ampere', 'hmA')
('centi*metre*ampere', 'c*m*A')
('centi*metre*ampere', 'c m A')
('centi*metre*ampere', 'cmA')
('milli*metre*ampere', 'm*m*A')
('milli*metre*ampere', 'm m A')
